"Business Name","Email","Website","Address","Phone","LinkedIn","Facebook","Instagram","Twitter/X","Notes"
"Republic of Work","ask@republicofwork.com","republicofwork.com","12 S Mall, Centre, Cork, T12 RD43, Ireland","(021) 239 8110","https://www.linkedin.com/company/republic-of-work","https://www.facebook.com/republicofwork","https://www.instagram.com/republicofwork","https://twitter.com/republicofwork","YT + TT"
"Culture Marina","info@culturecoworking.ie","culturecoworking.ie","Unit P5, Marina Commercial Park, Centre Park Rd, Ballintemple, Cork, Ireland","(021) 242 7178","https://www.linkedin.com/company/culturecoworkingcork","https://www.facebook.com/culturecoworkingcork","https://www.instagram.com/culturecoworking","https://twitter.com/CulturecoworkCo","YT"
"Ibec Cork Regional Office","info@ibec.ie","","2nd Floor Penrose One, Penrose Dock, Cork, T23 KW81, Ireland","(021) 429 5511","https://www.linkedin.com/company/ibec","https://www.facebook.com/IbecIreland","https://www.instagram.com/ibec_irl","https://twitter.com/ibec_irl","National accounts; TT"
"Cork Business Association","info@corkbusiness.ie","corkbusiness.ie","5 S Mall, Centre, Cork, T12 TCK8, Ireland","(021) 427 8295","https://www.linkedin.com/in/cork-business-association-6a3473a7","https://www.facebook.com/corkbusinessassociation","https://www.instagram.com/corkbusinessassociation","https://twitter.com/CBA_cork","YT"
"Penrose Wharf","hello@penrosewharf.com","penrosewharf.com","Penrose Quay, Victorian Quarter, Cork, Ireland","(021) 486 1300","https://www.linkedin.com/company/penrose-wharf-cork","https://www.facebook.com/penrosewharf","https://www.instagram.com/penrosewharf","","No Twitter"
"Cork Chamber of Commerce","info@corkchamber.ie","corkchamber.ie","Fitzgerald House, Summerhill N, Victorian Quarter, Cork, T23 TD90, Ireland","(021) 450 9044","https://www.linkedin.com/company/corkchamber","https://www.facebook.com/FacesofCorkBusiness","https://www.instagram.com/corkchamber","https://twitter.com/corkchamber","YT + TT"
"Irish Business Plans","","irishbusinessplans.com","7A, Kinsale Rd, Ballyphehane, Cork, T12 PDC9, Ireland","085 150 4497","https://www.linkedin.com/company/irish-business-plans","https://www.facebook.com/irishbusinessplans","https://www.instagram.com/irishbusinessplans","https://twitter.com/irishbizplans","Contact form only"
"RSC Accountants & Business Registration Ireland","info@rightsolutioncentre.com","rightsolutioncentre.com","Saint Patrick's Terrace, 3 W Douglas St, Douglas, Cork, T12 Y446, Ireland","(021) 701 1255","https://www.linkedin.com/company/rightsolutioncentre","https://www.facebook.com/right.solutioncentre","https://www.instagram.com/rightsolutioncentre","https://twitter.com/RSCentre","TT"
"Acorn Business Centre","info@acornbusinesscentre.ie","acornbusinesscentre.ie","Blackrock, Mahon Industrial Estate, Cork, T12 K7CV, Ireland","(021) 453 6199","https://www.linkedin.com/company/acorn-business-centre","https://www.facebook.com/AcornBusinessCentre","https://www.instagram.com/acornbusinesscentre","https://twitter.com/acornbc","YT + TT"
"Local Enterprise Office Cork City","info@leo.corkcity.ie","localenterprise.ie/CorkCity/","City Hall, Anglesea St, Ballintemple, Cork, Ireland","(021) 496 1828","https://www.linkedin.com/company/local-enterprise-office-cork-city","https://www.facebook.com/LEOCorkCity","https://www.instagram.com/leocorkcity","https://twitter.com/LEOCorkCity","TT"
